[2026-04-20T18:22:21.608Z] GET https://intranet.grupolacabana.net/consultasilc/Home/Trafico → pending (?ms, ?B)
[2026-04-20T18:22:22.839Z] GET https://intranet.grupolacabana.net/consultasilc/lib/bootstrap/dist/css/bootstrap.min.css → 200 (13ms, 155764B)
[2026-04-20T18:22:22.840Z] GET https://intranet.grupolacabana.net/consultasilc/css/site.css → 200 (11ms, 1419B)
[2026-04-20T18:22:22.840Z] GET https://intranet.grupolacabana.net/consultasilc/logo.png → 200 (10ms, 2911B)
[2026-04-20T18:22:22.840Z] GET https://intranet.grupolacabana.net/consultasilc/lib/jquery/dist/jquery.min.js → 200 (23ms, 89478B)
[2026-04-20T18:22:22.840Z] GET https://intranet.grupolacabana.net/consultasilc/lib/bootstrap/dist/js/bootstrap.bundle.min.js → 200 (69ms, 78641B)
[2026-04-20T18:22:22.840Z] GET https://intranet.grupolacabana.net/consultasilc/js/site.js?v=4q1jwFhaPaZgr8WAUSrux6hAuh0XDg9kPS3xIVq36I0 → 200 (12ms, 227B)
[2026-04-20T18:27:22.928Z] GET https://intranet.grupolacabana.net/consultasilc/Home/Trafico → pending (?ms, ?B)
[2026-04-20T18:27:23.771Z] GET https://intranet.grupolacabana.net/consultasilc/lib/bootstrap/dist/css/bootstrap.min.css → 200 (?ms, 155764B)
[2026-04-20T18:27:23.773Z] GET https://intranet.grupolacabana.net/consultasilc/css/site.css → 200 (?ms, 1419B)
[2026-04-20T18:27:23.774Z] GET https://intranet.grupolacabana.net/consultasilc/logo.png → 200 (?ms, 2911B)
[2026-04-20T18:27:23.776Z] GET https://intranet.grupolacabana.net/consultasilc/lib/jquery/dist/jquery.min.js → 200 (?ms, 89478B)
[2026-04-20T18:27:23.776Z] GET https://intranet.grupolacabana.net/consultasilc/lib/bootstrap/dist/js/bootstrap.bundle.min.js → 200 (?ms, 78641B)
[2026-04-20T18:27:23.777Z] GET https://intranet.grupolacabana.net/consultasilc/js/site.js?v=4q1jwFhaPaZgr8WAUSrux6hAuh0XDg9kPS3xIVq36I0 → 200 (?ms, 227B)
[2026-04-20T18:32:23.798Z] GET https://intranet.grupolacabana.net/consultasilc/Home/Trafico → pending (?ms, ?B)
[2026-04-20T18:32:25.090Z] GET https://intranet.grupolacabana.net/consultasilc/lib/bootstrap/dist/css/bootstrap.min.css → 200 (1ms, 155764B)
[2026-04-20T18:32:25.092Z] GET https://intranet.grupolacabana.net/consultasilc/css/site.css → 200 (?ms, 1419B)
[2026-04-20T18:32:25.092Z] GET https://intranet.grupolacabana.net/consultasilc/logo.png → 200 (?ms, 2911B)
[2026-04-20T18:32:25.094Z] GET https://intranet.grupolacabana.net/consultasilc/lib/jquery/dist/jquery.min.js → 200 (?ms, 89478B)
[2026-04-20T18:32:25.095Z] GET https://intranet.grupolacabana.net/consultasilc/lib/bootstrap/dist/js/bootstrap.bundle.min.js → 200 (?ms, 78641B)
[2026-04-20T18:32:25.096Z] GET https://intranet.grupolacabana.net/consultasilc/js/site.js?v=4q1jwFhaPaZgr8WAUSrux6hAuh0XDg9kPS3xIVq36I0 → 200 (?ms, 227B)
[2026-04-20T18:37:25.101Z] GET https://intranet.grupolacabana.net/consultasilc/Home/Trafico → pending (?ms, ?B)
[2026-04-20T18:37:25.729Z] GET https://intranet.grupolacabana.net/consultasilc/lib/bootstrap/dist/css/bootstrap.min.css → 200 (?ms, 155764B)
[2026-04-20T18:37:25.730Z] GET https://intranet.grupolacabana.net/consultasilc/css/site.css → 200 (?ms, 1419B)
[2026-04-20T18:37:25.731Z] GET https://intranet.grupolacabana.net/consultasilc/logo.png → 200 (?ms, 2911B)
[2026-04-20T18:37:25.731Z] GET https://intranet.grupolacabana.net/consultasilc/lib/jquery/dist/jquery.min.js → 200 (?ms, 89478B)
[2026-04-20T18:37:25.733Z] GET https://intranet.grupolacabana.net/consultasilc/lib/bootstrap/dist/js/bootstrap.bundle.min.js → 200 (?ms, 78641B)
[2026-04-20T18:37:25.734Z] GET https://intranet.grupolacabana.net/consultasilc/js/site.js?v=4q1jwFhaPaZgr8WAUSrux6hAuh0XDg9kPS3xIVq36I0 → 200 (?ms, 227B)
[2026-04-20T18:42:25.748Z] GET https://intranet.grupolacabana.net/consultasilc/Home/Trafico → pending (?ms, ?B)
